timestamp_ms,raw_ax,raw_ay,raw_az,raw_gx,raw_gy,raw_gz,filtered_ax,filtered_ay,filtered_az,filtered_gx,filtered_gy,filtered_gz,roll_deg,pitch_deg,yaw_deg,qx,qy,qz,qw,filter_method
120897,-0.108,-0.467,9.859,0.006,0.049,0.006,-0.108,-0.467,9.859,0.006,0.049,0.006,-1.2803877060650113,10.54646499578017,2.492448070560799,-0.013122063705002306,0.09163594028366663,0.02268223821273923,0.995447729397235,complementary
120997,-0.084,-0.467,9.883,0.007,0.045,0.003,-0.084,-0.467,9.883,0.007,0.045,0.003,-1.26956371186503,10.598047436794394,2.5096442056077084,-0.01305114375280745,0.09208422863953365,0.02282702032893365,0.9954039831272066,complementary
121097,-0.163,-0.5,9.876,0.007,0.048,0.007,-0.163,-0.5,9.876,0.007,0.048,0.007,-1.262826116135881,10.674487479283082,2.5497504480366193,-0.013038941389316158,0.09274502185017183,0.023175931430312692,0.9953347291900321,complementary
121197,-0.158,-0.503,9.881,0.006,0.05,0.006,-0.158,-0.503,9.881,0.006,0.05,0.006,-1.2622415510359428,10.759329502318783,2.584040265292888,-0.013077474850261865,0.0934781715593636,0.02347985504225024,0.995258512900369,complementary
121297,-0.132,-0.498,9.881,0.005,0.049,0.006,-0.132,-0.498,9.881,0.005,0.049,0.006,-1.2666413282663396,10.834372724858794,2.6183936852707075,-0.013157925429839009,0.09412511034480363,0.023787608585323472,0.9951891690923657,complementary
121397,-0.122,-0.457,9.84,0.006,0.048,0.006,-0.122,-0.457,9.84,0.006,0.048,0.006,-1.2607442105872344,10.901811578845658,2.6528241497823646,-0.013147939786939867,0.09470808396414816,0.024086934719661213,0.9951267909603326,complementary
121497,-0.134,-0.491,9.811,0.007,0.047,0.007,-0.134,-0.491,9.811,0.007,0.047,0.007,-1.253551424871207,10.963096699979609,2.692898741114662,-0.013130549390344897,0.09523722945229551,0.024433626411648476,0.995068066364977,complementary
121597,-0.093,-0.488,9.881,0.007,0.051,0.005,-0.093,-0.488,9.881,0.007,0.051,0.005,-1.2456787825628866,11.041279996656604,2.7215775443073866,-0.013101437813591944,0.09591455668402427,0.024681945505219263,0.9949972621617613,complementary
121697,-0.122,-0.524,9.864,0.007,0.048,0.009,-0.122,-0.524,9.864,0.007,0.048,0.009,-1.242196769408722,11.104644298590237,2.773242912019682,-0.013127186634595124,0.09645960230524965,0.025132311935395845,0.9949329570332645,complementary
121797,-0.115,-0.46,9.807,0.006,0.046,0.006,-0.115,-0.46,9.807,0.006,0.046,0.006,-1.2375250428085578,11.1530691000843,2.8074615040632858,-0.013125289007419301,0.09687716958325067,0.025429015891097303,0.9948848707025453,complementary
121897,-0.132,-0.46,9.876,0.01,0.05,0.007,-0.132,-0.46,9.876,0.01,0.05,0.007,-1.2098212422760584,11.226725975661939,2.8476643253670613,-0.012933986692255763,0.09751828667870942,0.02575982938268428,0.9948162277233262,complementary
121997,-0.199,-0.457,9.797,0.004,0.047,0.008,-0.199,-0.457,9.797,0.004,0.047,0.008,-1.2165891301215013,11.289102337590851,2.8934590498650823,-0.013044820930195499,0.09805308770997927,0.026167550575272102,0.9947515689529365,complementary
